,Name,Gross,Release Date
150,Mafia Mamma,3.5,Apr 14
151,The Wandering Earth II,5.02,Jan 22
152,A Thousand and One,3.4,Mar 31
153,Violent Night,50.06,Dec 2
154,What Happens Later,3.27,Nov 3
155,2023 Oscar Nominated Short Films: Live Action,3.03,Feb 17
156,Living,3.04,Dec 23
157,Jurassic Park,2.97,Aug 25
158,The Menu,38.5,Nov 18
159,Tu Jhoothi Main Makkaar,2.5,Mar 8
160,Come Out in Jesus Name,2.5,Mar 13
161,The Miracle Club,2.4,Jul 14
162,A Good Person,2.21,Mar 24
163,Moving On,2.14,Mar 17
164,Skinamarink,2.05,Jan 13
165,Die Hard,2.05,Dec 8
166,Jules,1.92,Aug 11
167,Somewhere in Queens,1.8,Apr 21
168,The Marsh King's Daughter,1.79,Nov 3
169,Oldboy,1.75,Aug 16
170,Winnie the Pooh: Blood and Honey,1.75,Feb 15
171,Fear,2.09,Jan 27
172,Lost in the Stars,1.72,Jul 7
173,Creation of the Gods I: Kingdom of Storms,1.71,Sep 22
174,American Fiction,1.84,Dec 15
175,Polite Society,1.6,Apr 28
176,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1.59,Jan 20
177,The Banshees of Inisherin,10.58,Oct 21
178,The Quiet Girl,1.5,Feb 24
179,BlackBerry,1.48,May 12
180,Spirited Away,1.46,Apr 23
181,Dicks: The Musical,1.45,Oct 6
182,Eileen,1.43,Dec 1
183,Maybe I Do,1.29,Jan 27
184,The First Slam Dunk,1.29,Jul 28
185,Billie Eilish Live at the O2,1.29,Jan 27
186,The Big Lebowski,18.72,Mar 6
187,Back to the Future,211.85,Jul 3
188,Tár,6.77,Oct 7
189,The Lost King,1.19,Mar 24
190,The Lord of the Rings: The Return of the King,1.18,Apr 13
191,Camp Hideout,1.13,Sep 15
192,Strange World,37.97,Nov 23
193,Close,1.1,Jan 27
194,Emily,1.1,Feb 17
195,Knights of the Zodiac,1.09,May 12
196,Broker,1.05,Dec 23
197,Showing Up,0.75,Apr 7
198,Inside,0.92,Mar 17
199,The Roundup: No Way Out,0.91,Jun 2
